iter	RMSE
0	12.74453396
1	12.51102431
2	12.27524132
3	12.0581131
4	11.87730909
5	11.69630282
6	11.54472726
7	11.36893266
8	11.23005062
9	11.09227804
10	10.96207668
11	10.84918922
12	10.74824557
13	10.64447297
14	10.55264455
15	10.4729979
16	10.39020415
17	10.32375806
18	10.25470945
19	10.18776993
20	10.12475684
21	10.07038045
22	10.01993108
23	9.967061028
24	9.918765238
25	9.874211576
26	9.824893087
27	9.790263109
28	9.75716254
29	9.726845547
30	9.704361765
31	9.680425341
32	9.666386326
33	9.63999566
34	9.609959601
35	9.592700515
36	9.566160032
37	9.544979303
38	9.517825108
39	9.493664403
40	9.472319315
41	9.448629673
42	9.434730687
43	9.416519129
44	9.394558239
45	9.388616204
46	9.379220342
47	9.339788854
48	9.323234524
49	9.308846352
50	9.27901334
51	9.250056141
52	9.225869491
53	9.22202257
54	9.211858518
55	9.198130228
56	9.196167715
57	9.187143523
58	9.18327357
59	9.178987783
60	9.177435914
61	9.162581122
62	9.159844211
63	9.125126127
64	9.098999121
65	9.084640786
66	9.073579855
67	9.06325849
68	9.059182144
69	9.046126717
70	9.035242339
71	9.025653316
72	9.015699187
73	9.011549492
74	8.987875838
75	8.976653988
76	8.962215696
77	8.955947297
78	8.949308091
79	8.944606552
80	8.93966084
81	8.928602407
82	8.920987168
83	8.913241022
84	8.905294048
85	8.898894543
86	8.892189677
87	8.88733785
88	8.877160847
89	8.871518038
90	8.870064314
91	8.863996408
92	8.856141994
93	8.836830274
94	8.832782228
95	8.830656021
96	8.815177623
97	8.812930916
98	8.793439063
99	8.789282255
100	8.776727032
101	8.767879616
102	8.763646836
103	8.760105806
104	8.74984884
105	8.739267871
106	8.729973856
107	8.726460374
108	8.721692821
109	8.720910448
110	8.717592794
111	8.715905764
112	8.713786088
113	8.704063054
114	8.700952454
115	8.697652075
116	8.697257285
117	8.692030609
118	8.690622354
119	8.68537756
120	8.670581381
121	8.661493614
122	8.654557986
123	8.650561076
124	8.641043158
125	8.633115188
126	8.630005606
127	8.628180087
128	8.620031057
129	8.61905141
130	8.615565261
131	8.61178312
132	8.608542609
133	8.60693912
134	8.599740648
135	8.599480952
136	8.59881962
137	8.597677115
138	8.593208776
139	8.590355442
140	8.58845005
141	8.584088232
142	8.580006926
143	8.577886544
144	8.567402951
145	8.565465813
146	8.560602758
147	8.559690847
148	8.556504364
149	8.549091859
150	8.546580392
151	8.538228219
152	8.535381942
153	8.530947333
154	8.528631191
155	8.520635896
156	8.486564739
157	8.481053487
158	8.477512478
159	8.449491861
160	8.447463869
161	8.428339538
