iter	Passed	Remaining
0	68	34150
1	69	17304
2	70	11661
3	71	8824
4	71	7117
5	73	6018
6	73	5199
7	74	4581
8	75	4114
9	76	3727
10	76	3413
11	77	3147
12	78	2922
13	78	2736
14	80	2588
15	80	2442
16	81	2315
17	82	2197
18	82	2096
19	83	2005
20	84	1923
21	84	1846
22	85	1783
23	87	1729
24	87	1669
25	88	1617
26	90	1579
27	90	1533
28	91	1487
29	92	1445
30	93	1416
31	94	1381
32	94	1343
33	95	1312
34	96	1283
35	97	1253
36	98	1226
37	99	1208
38	100	1184
39	100	1158
40	101	1135
41	102	1113
42	102	1093
43	104	1078
44	104	1058
45	105	1038
46	106	1024
47	107	1009
48	107	993
49	108	978
50	109	962
51	110	949
52	111	939
53	111	924
54	113	917
55	114	904
56	114	892
57	115	882
58	116	868
59	117	859
60	117	847
61	118	836
62	118	824
63	120	820
64	121	810
65	121	800
66	122	791
67	124	790
68	125	781
69	126	777
70	127	771
71	128	766
72	129	758
73	130	750
74	131	742
75	131	734
76	132	729
77	133	723
78	134	717
79	135	710
80	135	703
81	136	696
82	137	690
83	138	684
84	139	678
85	140	675
86	141	669
87	141	663
88	142	657
89	142	650
90	143	643
91	143	637
92	144	632
93	145	627
94	146	622
95	147	621
96	148	616
97	148	611
98	149	606
99	150	601
100	151	597
101	151	592
102	152	587
103	153	585
104	154	581
105	155	577
106	155	572
107	156	568
108	157	563
109	157	559
110	158	555
111	159	552
112	160	549
113	161	546
114	162	542
115	162	538
116	163	533
117	163	529
118	164	525
119	164	521
120	165	519
121	166	515
122	167	512
123	167	509
124	168	506
125	169	503
126	170	499
127	170	496
128	171	493
129	173	493
130	174	490
131	174	487
132	175	484
133	176	481
134	177	478
135	177	475
136	178	472
137	178	469
138	179	467
139	180	465
140	181	462
141	182	459
142	182	456
143	183	453
144	184	451
145	184	448
146	186	447
147	186	444
148	187	441
149	188	439
150	188	436
151	189	434
152	190	431
153	191	429
154	191	427
155	192	424
156	193	423
157	194	421
158	195	419
159	196	416
160	196	414
161	197	411
162	198	409
163	198	407
164	199	405
165	200	404
166	201	401
167	202	399
168	202	397
169	203	394
170	204	392
171	204	390
172	205	388
173	205	385
174	207	384
175	207	382
176	208	380
177	209	378
178	209	375
179	210	374
180	211	371
181	211	369
182	212	367
183	212	365
184	213	364
185	214	362
186	215	360
187	215	358
188	216	356
189	216	353
190	217	351
191	218	349
192	218	347
193	219	346
194	220	344
195	221	342
196	221	341
197	222	339
198	222	337
199	223	335
200	224	333
201	224	331
202	225	329
203	226	328
204	227	327
205	228	325
206	228	323
207	229	322
208	230	320
209	230	318
210	231	316
211	231	315
212	232	313
213	233	312
214	234	310
215	235	308
216	235	307
217	236	305
218	236	304
219	237	302
220	238	301
221	239	300
222	240	298
223	241	297
224	242	295
225	242	294
226	243	292
227	244	291
228	244	289
229	245	288
230	246	287
231	247	285
232	247	284
233	248	282
234	249	280
235	249	279
236	250	277
237	251	276
238	251	274
239	252	273
240	253	271
241	254	271
242	255	269
243	255	268
244	256	266
245	257	265
246	257	263
247	258	262
248	259	261
249	259	259
250	261	259
251	262	258
252	262	256
253	263	255
254	264	253
255	264	252
256	265	251
257	266	249
258	266	248
259	267	247
260	268	245
261	269	244
262	269	242
263	270	241
264	270	240
265	271	239
266	272	237
